Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2016,4,Les Corts,19,les Corts,Dona,Estrangera,25-29 anys,420
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Dona,Estrangera,25-29 anys,236
2016,4,Les Corts,21,Pedralbes,Dona,Estrangera,25-29 anys,66
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Dona,Estrangera,25-29 anys,22
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Dona,Estrangera,25-29 anys,116
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Dona,Estrangera,25-29 anys,73
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Dona,Estrangera,25-29 anys,188
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Dona,Estrangera,25-29 anys,334
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Dona,Estrangera,25-29 anys,330
2016,6,Gràcia,28,Vallcarca i els Penitents,Dona,Estrangera,25-29 anys,136
2016,6,Gràcia,29,el Coll,Dona,Estrangera,25-29 anys,89
2016,6,Gràcia,30,la Salut,Dona,Estrangera,25-29 anys,140
2016,6,Gràcia,31,la Vila de Gràcia,Dona,Estrangera,25-29 anys,951
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Dona,Estrangera,25-29 anys,401
2016,7,Horta-Guinardó,33,el Baix Guinardó,Dona,Estrangera,25-29 anys,299
2016,7,Horta-Guinardó,34,Can Baró,Dona,Estrangera,25-29 anys,102
2016,7,Horta-Guinardó,35,el Guinardó,Dona,Estrangera,25-29 anys,359
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Dona,Estrangera,25-29 anys,25
2016,7,Horta-Guinardó,37,el Carmel,Dona,Estrangera,25-29 anys,289
2016,7,Horta-Guinardó,38,la Teixonera,Dona,Estrangera,25-29 anys,86
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Dona,Estrangera,25-29 anys,60
2016,7,Horta-Guinardó,40,Montbau,Dona,Estrangera,25-29 anys,36
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Dona,Estrangera,25-29 anys,27
2016,7,Horta-Guinardó,42,la Clota,Dona,Estrangera,25-29 anys,4
2016,7,Horta-Guinardó,43,Horta,Dona,Estrangera,25-29 anys,185
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Dona,Estrangera,25-29 anys,199
2016,8,Nou Barris,45,Porta,Dona,Estrangera,25-29 anys,210
2016,8,Nou Barris,46,el Turó de la Peira,Dona,Estrangera,25-29 anys,206
2016,8,Nou Barris,47,Can Peguera,Dona,Estrangera,25-29 anys,9
2016,8,Nou Barris,48,la Guineueta,Dona,Estrangera,25-29 anys,77
2016,8,Nou Barris,49,Canyelles,Dona,Estrangera,25-29 anys,21
2016,8,Nou Barris,50,les Roquetes,Dona,Estrangera,25-29 anys,197
2016,8,Nou Barris,51,Verdun,Dona,Estrangera,25-29 anys,163
2016,8,Nou Barris,52,la Prosperitat,Dona,Estrangera,25-29 anys,263
2016,8,Nou Barris,53,la Trinitat Nova,Dona,Estrangera,25-29 anys,79
2016,8,Nou Barris,54,Torre Baró,Dona,Estrangera,25-29 anys,22
2016,8,Nou Barris,55,Ciutat Meridiana,Dona,Estrangera,25-29 anys,147
2016,8,Nou Barris,56,Vallbona,Dona,Estrangera,25-29 anys,5
2016,9,Sant Andreu,57,la Trinitat Vella,Dona,Estrangera,25-29 anys,123
2016,9,Sant Andreu,58,Baró de Viver,Dona,Estrangera,25-29 anys,8
2016,9,Sant Andreu,59,el Bon Pastor,Dona,Estrangera,25-29 anys,87
2016,9,Sant Andreu,60,Sant Andreu,Dona,Estrangera,25-29 anys,253
2016,9,Sant Andreu,61,la Sagrera,Dona,Estrangera,25-29 anys,270
2016,9,Sant Andreu,62,el Congrés i els Indians,Dona,Estrangera,25-29 anys,117
2016,9,Sant Andreu,63,Navas,Dona,Estrangera,25-29 anys,215
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Dona,Estrangera,25-29 anys,453
2016,10,Sant Martí,65,el Clot,Dona,Estrangera,25-29 anys,268
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Dona,Estrangera,25-29 anys,234
